Category,Price,Rating,Stock,Discount
nan,5548.0,1.870322015500628,0.0,0.0
nan,3045.0,4.757798057831803,0.0,38.0
nan,4004.0,3.0382925191086185,0.0,0.0
nan,4808.0,1.492084885301209,0.0,33.0
nan,1817.0,3.0382925191086185,0.0,23.0
nan,3522.0,3.0382925191086185,0.0,24.516624685138538
C,667.0,3.668340748490816,0.0,41.0
A,7125.0,4.983998118378299,0.0,7.0
A,2777.0,2.678384421487482,0.0,6.0
nan,463.0,4.626187280896929,0.0,3.0
A,1151.0,2.947838084766442,0.0,24.516624685138538
A,3772.0,4.890749963096654,0.0,45.0
nan,7719.0,2.9822417824846874,0.0,4.0
C,8416.0,1.2709427320459683,0.0,29.0
B,8530.0,3.0382925191086185,0.0,10.0
A,7936.0,3.032832041059039,0.0,44.0
B,9319.0,3.479063511857313,0.0,28.0
nan,5016.970630372492,4.097463656949772,0.0,40.0
D,2066.0,3.0382925191086185,0.0,30.0
B,1784.0,3.0382925191086185,0.0,12.0
nan,5589.0,3.0382925191086185,0.0,39.0
C,5016.970630372492,3.0382925191086185,0.0,25.0
nan,4176.0,2.264050691550675,0.0,42.0
D,407.0,2.7742698776847985,0.0,44.0
nan,7011.0,3.0382925191086185,0.0,38.0
nan,8418.0,3.0382925191086185,0.0,24.516624685138538
nan,3405.0,3.0382925191086185,0.0,48.0
D,1732.0,3.0382925191086185,0.0,24.516624685138538
B,5850.0,2.264393100564309,0.0,43.0
nan,5016.970630372492,2.357527106379227,0.0,22.0
nan,704.0,3.0382925191086185,0.0,47.0
nan,2343.0,1.8632245113185228,0.0,17.0
nan,5016.970630372492,3.0382925191086185,0.0,24.516624685138538
nan,1910.0,3.8494948825094535,0.0,14.0
nan,9307.0,3.0382925191086185,0.0,21.0
nan,2331.0,3.95225743506134,0.0,43.0
D,6164.0,4.305789482267322,0.0,1.0
B,8060.0,1.9058024886644624,0.0,43.0
nan,5607.0,4.789502194485456,0.0,15.0
nan,4730.0,3.0382925191086185,0.0,30.0
nan,9230.0,3.0382925191086185,0.0,8.0
nan,1112.0,3.0382925191086185,0.0,38.0
nan,4390.0,3.0382925191086185,0.0,34.0
nan,8484.0,3.0382925191086185,0.0,36.0
D,6415.0,4.984170226351978,0.0,12.0
nan,4589.0,3.0382925191086185,0.0,47.0
A,2260.0,3.0382925191086185,0.0,37.0
nan,1759.0,4.45534399355245,0.0,37.0
nan,7190.0,1.9243054921681804,0.0,24.516624685138538
nan,8675.0,2.778260648243727,0.0,24.516624685138538
nan,5412.0,3.0382925191086185,0.0,24.0
A,6304.0,3.0382925191086185,0.0,31.0
C,9870.0,2.8036864935783328,0.0,37.0
C,1134.0,2.886833030618752,0.0,15.0
B,9795.0,3.0382925191086185,0.0,17.0
B,3445.0,3.0382925191086185,0.0,3.0
nan,8421.0,1.338253810015713,0.0,2.0
nan,3236.0,4.951183214408314,0.0,2.0
nan,1624.0,3.0382925191086185,0.0,34.0
nan,806.0,4.170806833653488,0.0,8.0
nan,9888.0,3.0382925191086185,0.0,29.0
nan,8773.0,1.865998304807294,0.0,17.0
D,3977.0,3.0382925191086185,0.0,32.0
D,2251.0,3.0382925191086185,0.0,25.0
nan,7842.0,3.0382925191086185,0.0,30.0
A,5006.0,3.835636273769511,0.0,24.516624685138538
nan,3182.0,3.0382925191086185,0.0,13.0
nan,1136.0,3.0382925191086185,0.0,19.0
nan,1066.0,3.0382925191086185,0.0,10.0
B,1029.0,4.464129272916702,0.0,38.0
nan,1788.0,3.0382925191086185,0.0,7.0
nan,6249.0,3.0382925191086185,0.0,16.0
D,8026.0,3.0382925191086185,0.0,46.0
A,9516.0,1.6573504366560314,0.0,5.0
nan,859.0,1.2279456432932538,0.0,49.0
nan,6792.0,2.4937906347326475,0.0,26.0
nan,8631.0,3.3084805096007277,0.0,10.0
nan,6491.0,4.645463936808445,0.0,16.0
nan,5016.970630372492,4.036652101229622,0.0,33.0
D,642.0,1.5983454005426196,0.0,28.0
B,4222.0,4.213202927733002,0.0,20.0
A,1962.0,4.976201301561568,0.0,6.0
nan,2119.0,3.661720155583746,0.0,40.0
nan,1441.0,3.41463486419962,0.0,43.0
nan,6884.0,3.0382925191086185,0.0,49.0
D,2544.0,3.0382925191086185,0.0,24.516624685138538
B,6114.0,3.0382925191086185,0.0,44.0
nan,8117.0,3.0382925191086185,0.0,45.0
nan,5016.970630372492,2.581053762448872,0.0,36.0
A,4077.0,3.0382925191086185,0.0,28.0
D,2877.0,3.1301621702727505,0.0,49.0
B,8723.0,3.750973129417399,0.0,41.0
nan,8651.0,4.282273713935922,0.0,2.0
nan,3282.0,3.0382925191086185,0.0,40.0
D,9493.0,2.7804614226232114,0.0,34.0
nan,6578.0,3.125260769236996,0.0,28.0
nan,7187.0,3.0382925191086185,0.0,12.0
nan,1435.0,3.0382925191086185,0.0,23.0
nan,1561.0,2.8560894572721987,0.0,6.0
nan,2778.0,4.647670825820734,0.0,43.0
A,4752.0,4.589987920715608,0.0,1.0
nan,4502.0,3.0382925191086185,0.0,40.0
nan,5016.970630372492,3.0382925191086185,0.0,1.0
nan,578.0,3.688162019635981,0.0,36.0
nan,3137.0,2.530595786094526,0.0,49.0
C,7417.0,3.516107651706844,0.0,43.0
C,8024.0,3.0382925191086185,0.0,2.0
nan,5250.0,3.0382925191086185,0.0,6.0
nan,6554.0,3.0382925191086185,0.0,29.0
nan,7267.0,3.0382925191086185,0.0,24.0
nan,6122.0,2.5677161236461608,0.0,15.0
nan,1362.0,3.9136540296959086,0.0,24.516624685138538
nan,6562.0,3.6193144852124495,0.0,3.0
C,6879.0,3.0382925191086185,0.0,8.0
D,6117.0,4.858685977036779,0.0,4.0
C,3182.0,4.874851836156545,0.0,49.0
nan,5427.0,3.0382925191086185,0.0,15.0
nan,251.0,3.0382925191086185,0.0,21.0
nan,6250.0,3.0382925191086185,0.0,33.0
D,4580.0,1.5320901750433862,0.0,39.0
